0x0	-179.509	-163.955	1.79644
0x1	145.286	31.9451	-2.54993
0x2	133.862	47.8554	-2.38867
0x3	122.443	30.7964	2.35898
0x4	133.2	48.0944	-2.38185
0x5	132.535	48.3239	-2.38185
0x6	163.517	27.2981	-2.34296
0x7	152.209	37.0847	1.59536
0x8	152.876	36.8583	1.60429
0x9	153.545	36.6398	1.60429
0xa	154.214	36.4213	1.6043
0xb	164.269	26.1032	-2.26525
0xc	132.566	48.4144	-2.31698
0x1b	-161.53	-68.0118	6.72374
0x1c	-160.987	-66.7132	6.72374
0x1d	-160.718	-66.0628	6.72374
0x1e	-160.45	-65.4123	6.72374
0x1f	-160.196	-64.7558	6.72374
0x20	-159.912	-64.1114	6.72374
0x21	-159.648	-63.4589	6.72374
0x22	-184.086	51.4343	4.9795
0x23	-183.512	51.7494	4.9795
0x24	-182.939	52.0644	4.9795
0x25	-182.365	52.3794	4.9795
0x26	-181.792	52.6944	4.9795
0x27	108.843	-57.4404	11.5379
0x28	109.172	-56.8183	11.5379
0x29	109.491	-56.1908	11.5379
0x2f	-201.606	-114.375	3.21
0x30	238.005	21.6201	0.46
0x36	-128.912	-163.77	5.7141
0x37	30.242	-41.33	16.9804
0x38	30.9849	-37.9026	16.9813
0x3b	-115.586	-3.86697	11.5455
0x3c	-140.697	-169.545	6.14637
0x3d	-111.031	1.98183	12.3988
0x3e	32.3476	-41.7694	16.2163
0x3f	-137.158	-156.59	10.7625
0x40	-67.1527	-2.17201	-1.01664
0x51	-165.093	-153.007	7.66666
0x52	32.102	-36.6835	17.6899
0x53	-110.575	6.50138	13.5949
0x55	-109.673	9.48258	14.1086
0x58	-160.611	-66.1069	6.72374
0x59	-217.073	-36.643	2.63183
0x5a	-216.875	-36.6684	2.6409
0x5c	-216.907	-35.3448	2.63954
0x5d	-137.207	-65.843	6.43318
0x5e	-136.573	-66.1489	6.43318
0x5f	-135.939	-66.4548	6.43318
0x60	-135.305	-66.7606	6.43318
0x61	-134.671	-67.0665	6.43318
0x62	-216.99	-35.9939	2.63569
0x63	-182.842	51.8891	4.93464
0x64	-187.157	-158.502	3.70046
0x65	-192.814	20.4337	8.26684
0x67	-136.001	-66.5819	6.43188
